ErrorCode,Description
16000,InteractionRequired - User account '{EmailHidden}' from identity provider '{idp}' doesn't exist in tenant '{tenant}' and can't access the application '{appid}'({appName}) in that tenant. This account needs to be added as an external user in the tenant first. Sign out and sign in again with a different Microsoft Entra user account. This error is fairly common when you try to sign in to Microsoft Entra admin center by using personal Microsoft Account and no directory associated with it.
16001,UserAccountSelectionInvalid - You see this error if the user selects on a tile that the session select logic has rejected. When triggered this error allows the user to recover by picking from an updated list of tiles/sessions or by choosing another account. This error can occur because of a code defect or race condition.
16002,AppSessionSelectionInvalid - The app-specified SID requirement wasn't met.
160021,AppSessionSelectionInvalidSessionNotExist - Application requested a user session that doesn't exist. This issue can be resolved by creating new Azure account.
16003,SsoUserAccountNotFoundInResourceTenant - Indicates that the user hasn't been explicitly added to the tenant.
17003,CredentialKeyProvisioningFailed - Microsoft Entra ID can't provision the user key.
20001,WsFedSignInResponseError - There's an issue with your federated Identity Provider. Contact your IDP to resolve this issue.
20012,WsFedMessageInvalid - There's an issue with your federated Identity Provider. Contact your IDP to resolve this issue.
20033,FedMetadataInvalidTenantName - There's an issue with your federated Identity Provider. Contact your IDP to resolve this issue.
230109,CachedCredentialNonGWAuthNRequestsNotSupported - Backup Auth Service only allows AuthN requests from Microsoft Entra Gateway. This error is returned when traffic targets the backup auth service directly instead of going through the reverse proxy.
28002,Provided value for the input parameter scope '{scope}' isn't valid when requesting an access token. Specify a valid scope.
28003,Provided value for the input parameter scope can't be empty when requesting an access token using the provided authorization code. Specify a valid scope.
40008,OAuth2IdPUnretryableServerError - There's an issue with your federated Identity Provider. Contact your IDP to resolve this issue.
40009,OAuth2IdPRefreshTokenRedemptionUserError - There's an issue with your federated Identity Provider. Contact your IDP to resolve this issue.
40010,OAuth2IdPRetryableServerError - There's an issue with your federated Identity Provider. Contact your IDP to resolve this issue.
40015,OAuth2IdPAuthCodeRedemptionUserError - There's an issue with your federated Identity Provider. Contact your IDP to resolve this issue.
50000,TokenIssuanceError - There's an issue with the sign-in service. Open a support ticket to resolve this issue.
50001,InvalidResource - The resource is disabled or doesn't exist. Check your app's code to ensure that you have specified the exact resource URL for the resource you're trying to access.
50002,NotAllowedTenant - Sign-in failed because of a restricted proxy access on the tenant. If it's your own tenant policy you can change your restricted tenant settings to fix this issue.
500011,InvalidResourceServicePrincipalNotFound - The resource principal named {name} wasn't found in the tenant named {tenant}. This can happen if the application hasn't been installed by the administrator of the tenant or consented to by any user in the tenant. You might have sent your authentication request to the wrong tenant. If you expect the app to be installed you might need to provide administrator permissions to add it. Check with the developers of the resource and application to understand what the right setup for your tenant is.
500014,InvalidResourceServicePrincipalDisabled - The service principal for resource '{identifier}' is disabled. This indicates that a subscription within the tenant has lapsed or that an administrator for this tenant has disabled the application's service principal preventing tokens from being issued for it. For more information see Disable user sign-in for application.
500021,Access to '{tenant}' tenant is denied. 500021 indicates that the tenant restriction feature is configured and that the user is trying to access a tenant that isn't in the list of allowed tenants specified in the header Restrict-Access-To-Tenant. For more information see Use tenant restrictions to manage access to SaaS cloud applications.
500022,Access to '{tenant}' tenant is denied. 500022 indicates that the tenant restriction feature is configured and that the user is trying to access a tenant that isn't in the list of allowed tenants specified in the header Restrict-Access-To-Tenant. For more information see Use tenant restrictions to manage access to SaaS cloud applications.
50003,MissingSigningKey - Sign-in failed because of a missing signing key or certificate. This might be because there was no signing key configured in the app. To learn more see the troubleshooting article for error 50003. If you still see issues contact the app owner or an app admin.
50005,DevicePolicyError - User tried to sign in to a device from a platform not currently supported through Conditional Access policy.
50006,InvalidSignature - Signature verification failed because of an invalid signature.
50007,PartnerEncryptionCertificateMissing - The partner encryption certificate wasn't found for this app. Open a support ticket with Microsoft to get this fixed.
50008,InvalidSamlToken - SAML assertion is missing or misconfigured in the token. Contact your federation provider.
5000224,NotAllowedTenantBlockedTenantFraud - We are sorry this resource is not available. If you are seeing this message by mistake please contact Microsoft support.
5000819,InvalidSamlTokenEmailMissingOrInvalid - SAML Assertion is invalid. Email address claim is missing or doesn't match domain from an external realm.
50010,AudienceUriValidationFailed - Audience URI validation for the app failed since no token audiences were configured.
50011,InvalidReplyTo - The reply address is missing misconfigured or doesn't match reply addresses configured for the app. As a resolution ensures to add this missing reply address to the Microsoft Entra application or have someone with the permissions to manage your application in Microsoft Entra IF do this for you. To learn more see the troubleshooting article for error 50011.
50012,AuthenticationFailed - Authentication failed
50013,InvalidAssertion - Assertion is invalid because of various reasons - The token issuer doesn't match the API version within its valid time range -expired -malformed - Refresh token in the assertion isn't a primary refresh token. Contact the app developer.
500133,Assertion isn't within its valid time range. Ensure that the access token isn't expired before using it for user assertion or request a new token. 
50014,GuestUserInPendingState - The user account doesn’t exist in the directory. An application likely chose the wrong tenant to sign into and the currently logged in user was prevented from doing so since they didn't exist in your tenant. If this user should be able to sign in add them as a guest. For further information please visit add B2B users.
50015,ViralUserLegalAgeConsentRequiredState - The user requires legal age group consent.
50017,CertificateValidationFailed - Certification validation failed
50020,UserUnauthorized - Users are unauthorized to call this endpoint. User account '{email}' from identity provider '{idp}' does not exist in tenant '{tenant}' and cannot access the application '{appid}'({appName}) in that tenant. This account needs to be added as an external user in the tenant first. Sign out and sign in again with a different Microsoft Entra user account. If this user should be a member of the tenant they should be invited via the B2B system. For additional information visit 50020.
500208,The domain is not a valid login domain for the account type - This situation occurs when the user's account does not match the expected account type for the given tenant. For instance if the tenant is configured to allow only work or school accounts and the user tries to sign in with a personal Microsoft account they will receive this error.
500212,NotAllowedByOutboundPolicyTenant - The user's administrator has set an outbound access policy that doesn't allow access to the resource tenant.
500213,NotAllowedByInboundPolicyTenant - The resource tenant's cross-tenant access policy doesn't allow this user to access this tenant.
50027,InvalidJwtToken - Invalid JWT token 
,External ID token from issuer failed signature verification.
50029,Invalid URI - domain name contains invalid characters. Contact the tenant admin.
50032,WeakRsaKey - Indicates the erroneous user attempt to use a weak RSA key.
50033,RetryableError - Indicates a transient error not related to the database operations.
50034,UserAccountNotFound - To sign into this application the account must be added to the directory. This error can occur because the user mis-typed their username or isn't in the tenant. An application might have chosen the wrong tenant to sign into and the currently logged in user was prevented from doing so since they did not exist in your tenant. If this user should be able to log in add them as a guest. See docs here: Add B2B users.
50042,UnableToGeneratePairwiseIdentifierWithMissingSalt - The salt required to generate a pairwise identifier is missing in principle. Contact the tenant admin.
50043,UnableToGeneratePairwiseIdentifierWithMultipleSalts
50048,SubjectMismatchesIssuer - Subject mismatches Issuer claim in the client assertion. Contact the tenant admin.
50049,NoSuchInstanceForDiscovery - Unknown or invalid instance.
50050,MalformedDiscoveryRequest - The request is malformed.
50053,This error can result from two different reasons:IdsLocked - The account is locked because the user tried to sign in too many times with an incorrect user ID or password. The user is blocked due to repeated sign-in attempts. See Remediate risks and unblock users. Or sign-in was blocked because it came from an IP address with malicious activity.
50055,InvalidPasswordExpiredPassword - The password is expired. The user's password is expired and therefore their login or session was ended. They will be offered the opportunity to reset it or can ask an admin to reset it via Reset a user's password using Microsoft Entra ID.
50056,Invalid or null password: password doesn't exist in the directory for this user. The user should be asked to enter their password again.
50057,UserDisabled - The user account is disabled. The user object in Active Directory backing this account has been disabled. An admin can re-enable this account through PowerShell
50058,UserInformationNotProvided - Session information isn't sufficient for single-sign-on. This means that a user isn't signed in. This is a common error that's expected when a user is unauthenticated and hasn't yet signed in.
50059,MissingTenantRealmAndNoUserInformationProvided - Tenant-identifying information wasn't found in either the request or implied by any provided credentials. The user can contact the tenant admin to help resolve the issue.
50061,SignoutInvalidRequest - Unable to complete sign out. The request was invalid.
50064,CredentialAuthenticationError - Credential validation on username or password has failed.
50068,SignoutInitiatorNotParticipant - Sign out has failed. The app that initiated sign out isn't a participant in the current session.
50070,SignoutUnknownSessionIdentifier - Sign out has failed. The sign out request specified a name identifier that didn't match the existing session(s).
50071,SignoutMessageExpired - The logout request has expired.
50072,UserStrongAuthEnrollmentRequiredInterrupt - User needs to enroll for second factor authentication (interactive).
50074,UserStrongAuthClientAuthNRequiredInterrupt - Strong authentication is required and the user did not pass the MFA challenge.
50076,UserStrongAuthClientAuthNRequired - Due to a configuration change made by the admin such as a Conditional Access policy per-user enforcement or because you moved to a new location the user must use multifactor authentication to access the resource. Retry with a new authorize request for the resource.
50078,UserStrongAuthExpired- Presented multifactor authentication has expired due to policies configured by your administrator. You must refresh your multifactor authentication to access '{resource}'.
50079,UserStrongAuthEnrollmentRequired - Due to a configuration change made by the admin such as a Conditional Access policy per-user enforcement or because the user moved to a new location the user is required to use multifactor authentication. Either a managed user needs to register security info to complete multifactor authentication or a federated user needs to get the multifactor claim from the federated identity provider.
50085,Refresh token needs social IDP login. Have user try signing-in again with username -password
50086,SasNonRetryableError
50087,SasRetryableError - A transient error has occurred during strong authentication. Please try again.
50088,Limit on telecom MFA calls reached. Please try again in a few minutes.
50089,Authentication failed due to flow token expired. Expected - auth codes refresh tokens and sessions expire over time or are revoked by the user or an admin. The app will request a new login from the user.
50097,DeviceAuthenticationRequired - Device authentication is required.
50099,PKeyAuthInvalidJwtUnauthorized - The JWT signature is invalid.
50105,EntitlementGrantsNotFound - The signed in user isn't assigned to a role for the signed in app. Assign the user to the app. To learn more see the troubleshooting article for error 50105.
50107,InvalidRealmUri - The requested federation realm object doesn't exist. Contact the tenant admin.
50120,ThresholdJwtInvalidJwtFormat - Issue with JWT header. Contact the tenant admin.
50124,ClaimsTransformationInvalidInputParameter - Claims Transformation contains invalid input parameter. Contact the tenant admin to update the policy.
501241,Mandatory Input '{paramName}' missing from transformation ID '{transformId}'. This error is returned while Microsoft Entra ID is trying to build a SAML response to the application. NameID claim or NameIdentifier is mandatory in SAML response and if Microsoft Entra ID failed to get source attribute for NameID claim it returns this error. As a resolution ensure that you add claim rules. To add claim rules sign in to the Microsoft Entra admin center as at least a Cloud Application Administrator and then browse to Identity > Applications > Enterprise applications. Select your application select Single Sign-On and then in User Attributes & Claims enter the Unique User Identifier (Name ID).
50125,PasswordResetRegistrationRequiredInterrupt - Sign-in was interrupted because of a password reset or password registration entry.
50126,InvalidUserNameOrPassword - Error validating credentials due to invalid username or password. The user didn't enter the right credentials. Expect to see some number of these errors in your logs due to users making mistakes.
50127,BrokerAppNotInstalled - User needs to install a broker app to gain access to this content.
50128,Invalid domain name - No tenant-identifying information found in either the request or implied by any provided credentials.
50129,DeviceIsNotWorkplaceJoined - Workplace join is required to register the device.
50131,ConditionalAccessFailed - Indicates various Conditional Access errors such as bad Windows device state request blocked due to suspicious activity access policy or security policy decisions.
50132,SsoArtifactInvalidOrExpired - The session isn't valid due to password expiration or recent password change.
50133,SsoArtifactRevoked - The session isn't valid due to password expiration or recent password change.
50134,DeviceFlowAuthorizeWrongDatacenter - Wrong data center. To authorize a request that was initiated by an app in the OAuth 2.0 device flow the authorizing party must be in the same data center where the original request resides.
50135,PasswordChangeCompromisedPassword - Password change is required due to account risk.
50136,RedirectMsaSessionToApp - Single MSA session detected.
50139,SessionMissingMsaOAuth2RefreshToken - The session is invalid due to a missing external refresh token.
50140,KmsiInterrupt - This error occurred due to Keep me signed in interrupt when the user was signing-in. This is an expected part of the sign in flow where a user is asked if they want to remain signed into their current browser to make further logins easier.
50143,Session mismatch - Session is invalid because user tenant doesn't match the domain hint due to different resource. Open a support ticket with Correlation ID Request ID and Error code to get more details.
50144,InvalidPasswordExpiredOnPremPassword - User's Active Directory password has expired. Generate a new password for the user or have the user use the self-service reset tool to reset their password.
50146,MissingCustomSigningKey - This app is required to be configured with an app-specific signing key. It's either not configured with one or the key has expired or isn't yet valid. Please contact the owner of the application.
501461,AcceptMappedClaims is only supported for a token audience matching the application GUID or an audience within the tenant's verified domains. Either change the resource identifier or use an application-specific signing key.
50147,MissingCodeChallenge - The size of the code challenge parameter isn't valid.
501481,The Code_Verifier doesn't match the code_challenge supplied in the authorization request.
501491,InvalidCodeChallengeMethodInvalidSize - Invalid size of Code_Challenge parameter.
50155,DeviceAuthenticationFailed - Device authentication failed for this user.
50158,ExternalSecurityChallenge - External security challenge was not satisfied.
50161,InvalidExternalSecurityChallengeConfiguration - Claims sent by external provider isn't enough or Missing claim requested to external provider.
50166,ExternalClaimsProviderThrottled - Failed to send the request to the claims provider.
50168,ChromeBrowserSsoInterruptRequired - The client is capable of obtaining an SSO token through the Windows 10 Accounts extension but the token was not found in the request or the supplied token was expired.
50169,InvalidRequestBadRealm - The realm isn't a configured realm of the current service namespace.
50170,MissingExternalClaimsProviderMapping - The external controls mapping is missing.
50173,FreshTokenNeeded - The provided grant has expired due to it being revoked and a fresh auth token is needed. Either an admin or a user revoked the tokens for this user causing subsequent token refreshes to fail and require reauthentication. Have the user sign in again.
50177,ExternalChallengeNotSupportedForPassthroughUsers - External challenge isn't supported for passthrough users.
50178,SessionControlNotSupportedForPassthroughUsers - Session control isn't supported for passthrough users.
50180,WindowsIntegratedAuthMissing - Integrated Windows authentication is needed. Enable the tenant for Seamless SSO.
50187,DeviceInformationNotProvided - The service failed to perform device authentication.
50192,Invalid Request - RawCredentialExpectedNotFound - No Credential was included in the sign-in request. Example: user is performing certificate-based authentication (CBA) and no certificate is sent (or Proxy removes) the user's certificate in the sign-in request.
50194,Application '{appId}'({appName}) isn't configured as a multitenant application. Usage of the /common endpoint isn't supported for such applications created after '{time}'. Use a tenant-specific endpoint or configure the application to be multitenant.
50196,LoopDetected - A client loop has been detected. Check the app’s logic to ensure that token caching is implemented and that error conditions are handled correctly. The app has made too many of the same request in too short a period indicating that it is in a faulty state or is abusively requesting tokens.
50197,ConflictingIdentities - The user could not be found. Try signing in again.
50199,CmsiInterrupt - For security reasons user confirmation is required for this request. Interrupt is shown for all scheme redirects in mobile browsers.
51000,RequiredFeatureNotEnabled - The feature is disabled.
51001,DomainHintMustbePresent - Domain hint must be present with on-premises security identifier or on-premises UPN.
1000104,XCB2BResourceCloudNotAllowedOnIdentityTenant - Resource cloud {resourceCloud} isn't allowed on identity tenant {identityTenant}. {resourceCloud} - cloud instance which owns the resource. {identityTenant} - is the tenant where signing-in identity is originated from.
51004,UserAccountNotInDirectory - The user account doesn’t exist in the directory. An application likely chose the wrong tenant to sign into and the currently logged in user was prevented from doing so since they did not exist in your tenant. If this user should be able to log in add them as a guest. For further information please visit add B2B users.
51005,TemporaryRedirect - Equivalent to HTTP status 307 which indicates that the requested information is located at the URI specified in the location header. When you receive this status follow the location header associated with the response. When the original request method was POST the redirected request will also use the POST method.
51006,ForceReauthDueToInsufficientAuth - Integrated Windows authentication is needed. User logged in using a session token that is missing the integrated Windows authentication claim. Request the user to log in again.
52004,DelegationDoesNotExistForLinkedIn - The user has not provided consent for access to LinkedIn resources.
53000,DeviceNotCompliant - Conditional Access policy requires a compliant device and the device isn't compliant. The user must enroll their device with an approved MDM provider like Intune. For additional information please visit Conditional Access device remediation.
53001,DeviceNotDomainJoined - Conditional Access policy requires a domain joined device and the device isn't domain joined. Have the user use a domain joined device.
53002,ApplicationUsedIsNotAnApprovedApp - The app used isn't an approved app for Conditional Access. User needs to use one of the apps from the list of approved apps to use in order to get access.
53003,BlockedByConditionalAccess - Access has been blocked by Conditional Access policies. The access policy does not allow token issuance. If this is unexpected see the Conditional Access policy that applied to this request or contact your administrator. For additional information please visit troubleshooting sign-in with Conditional Access.
530035,BlockedBySecurityDefaults - Access has been blocked by security defaults. This is due to the request using legacy auth or being deemed unsafe by security defaults policies. For additional information please visit enforced security policies.
53004,ProofUpBlockedDueToRisk - User needs to complete the multifactor authentication registration process before accessing this content. User should register for multifactor authentication.
53010,ProofUpBlockedDueToSecurityInfoAcr - Cannot configure multifactor authentication methods because the organization requires this information to be set from specific locations or devices.
53011,User blocked due to risk on home tenant.
530034,DelegatedAdminBlockedDueToSuspiciousActivity - A delegated administrator was blocked from accessing the tenant due to account risk in their home tenant.
54000,MinorUserBlockedLegalAgeGroupRule
54005,OAuth2 Authorization code was already redeemed please retry with a new valid code or use an existing refresh token.
65001,DelegationDoesNotExist - The user or administrator hasn't consented to use the application with ID X. Send an interactive authorization request for this user and resource.
